x U u
6.232464929859719005e-01 8.378780754648768037e-02 8.378635000787919285e-02
6.252505010020039666e-01 8.395381364761438092e-02 8.395235623275942860e-02
6.272545090180360328e-01 8.411949548314311131e-02 8.411803822950225662e-02
6.292585170340680989e-01 8.428489713849508791e-02 8.428344008305276025e-02
6.312625250501001650e-01 8.445006314290122440e-02 8.444860632215989149e-02
6.332665330661322312e-01 8.461503846361835557e-02 8.461358191359266701e-02
6.352705410821642973e-01 8.477986850007580844e-02 8.477841225628693356e-02
6.372745490981963634e-01 8.494459907795356979e-02 8.494314317542359105e-02
6.392785571142284295e-01 8.510927644319285501e-02 8.510782091643911973e-02
6.412825651302604957e-01 8.527394725594007741e-02 8.527249213896978541e-02
6.432865731462925618e-01 8.543865858442502292e-02 8.543720391072989750e-02
6.452905811623246279e-01 8.560345789877449318e-02 8.560200370132534098e-02
6.472945891783566941e-01 8.576839306476213842e-02 8.576693937600368689e-02
6.492985971943887602e-01 8.593351233749550733e-02 8.593205918934135323e-02
6.513026052104208263e-01 8.609886435504153501e-02 8.609741177886887087e-02
6.533066132264528925e-01 8.626449813199116301e-02 8.626304615863597536e-02
6.553106212424849586e-01 8.643046305296427090e-02 8.642901171271644145e-02
6.573146292585170247e-01 8.659680886605609917e-02 8.659535818865451984e-02
6.593186372745490909e-01 8.676358567622582951e-02 8.676213569085369781e-02
6.613226452905811570e-01 8.693084393862873793e-02 8.692939467390906061e-02
6.633266533066132231e-01 8.709863445189278131e-02 8.709718593588364199e-02
6.653306613226452892e-01 8.726700835134069967e-02 8.726556061153095678e-02
6.673346693386772444e-01 8.743601710215878620e-02 8.743457016546367366e-02
6.693386773547093105e-01 8.760571249251333792e-02 8.760426638527013532e-02
6.713426853707413766e-01 8.777614662661584188e-02 8.777470137457976662e-02
6.733466933867734427e-01 8.794737191773815965e-02 8.794592754607832852e-02
6.753507014028055089e-01 8.811944108117865382e-02 8.811799761447396129e-02
6.773547094188375750e-01 8.829240712718042228e-02 8.829096458941577963e-02
6.793587174348696411e-01 8.846632335380281986e-02 8.846488176836522777e-02
6.813627254509017073e-01 8.864124333974721104e-02 8.863980272942216521e-02
6.833667334669337734e-01 8.881722093713849409e-02 8.881578132410625215e-02
6.853707414829658395e-01 8.899431026426295188e-02 8.899287167009516109e-02
6.873747494989979057e-01 8.917256569826415014e-02 8.917112814392029463e-02
6.893787575150299718e-01 8.935204186779770186e-02 8.935060537362184141e-02
6.913827655310620379e-01 8.953279364564613318e-02 8.953135823136369742e-02
6.933867735470941041e-01 8.971487614129505794e-02 8.971344182600968220e-02
6.953907815631261702e-01 8.989834469347189605e-02 8.989691149566239603e-02
6.973947895791582363e-01 9.008325486264816273e-02 9.008182280016564791e-02
