x y U
0.512 0.353 0.004
0.537 0.353 0.011
0.561 0.353 0.019
0.585 0.353 0.026
0.610 0.353 0.032
0.634 0.353 0.038
0.659 0.353 0.042
0.683 0.353 0.046
0.707 0.353 0.049
0.732 0.353 0.050
0.756 0.353 0.050
0.780 0.353 0.049
0.805 0.353 0.047
0.829 0.353 0.044
0.854 0.353 0.040
0.878 0.353 0.035
0.902 0.353 0.029
0.927 0.353 0.022
0.951 0.353 0.015
0.976 0.353 0.008
0.024 0.373 -0.006
0.049 0.373 -0.013
0.073 0.373 -0.018
0.098 0.373 -0.024
0.122 0.373 -0.029
0.146 0.373 -0.033
0.171 0.373 -0.037
0.195 0.373 -0.039
0.220 0.373 -0.041
0.244 0.373 -0.042
0.268 0.373 -0.041
0.293 0.373 -0.040
0.317 0.373 -0.038
0.341 0.373 -0.035
0.366 0.373 -0.031
0.390 0.373 -0.026
0.415 0.373 -0.021
0.439 0.373 -0.016
0.463 0.373 -0.009
0.488 0.373 -0.003
0.512 0.373 0.003
0.537 0.373 0.009
0.561 0.373 0.016
0.585 0.373 0.021
0.610 0.373 0.026
0.634 0.373 0.031
0.659 0.373 0.035
0.683 0.373 0.038
0.707 0.373 0.040
0.732 0.373 0.041
0.756 0.373 0.042
0.780 0.373 0.041
0.805 0.373 0.039
0.829 0.373 0.037
0.854 0.373 0.033
0.878 0.373 0.029
0.902 0.373 0.024
0.927 0.373 0.018
0.951 0.373 0.013
0.976 0.373 0.006
0.024 0.392 -0.005
0.049 0.392 -0.010
0.073 0.392 -0.015
0.098 0.392 -0.020
0.122 0.392 -0.024
0.146 0.392 -0.027
0.171 0.392 -0.030
0.195 0.392 -0.032
0.220 0.392 -0.034
0.244 0.392 -0.034
0.268 0.392 -0.034
0.293 0.392 -0.033
0.317 0.392 -0.031
0.341 0.392 -0.029
0.366 0.392 -0.026
0.390 0.392 -0.022
0.415 0.392 -0.018
0.439 0.392 -0.013
0.463 0.392 -0.008
0.488 0.392 -0.003
0.512 0.392 0.003
0.537 0.392 0.008
0.561 0.392 0.013
0.585 0.392 0.018
0.610 0.392 0.022
0.634 0.392 0.026
0.659 0.392 0.029
0.683 0.392 0.031
0.707 0.392 0.033
0.732 0.392 0.034
0.756 0.392 0.034
0.780 0.392 0.034
0.805 0.392 0.032
0.829 0.392 0.030
0.854 0.392 0.027
0.878 0.392 0.024
0.902 0.392 0.020
0.927 0.392 0.015
0.951 0.392 0.010
0.976 0.392 0.005
0.024 0.412 -0.004
0.049 0.412 -0.009
0.073 0.412 -0.013
0.098 0.412 -0.016
0.122 0.412 -0.020
0.146 0.412 -0.023
0.171 0.412 -0.025
